Runner,Lure
8074,"THE VIDAL BROTHERS # 8074 Arturo # 6870 MOOD  The Vidal brothers were born smoking and running over the chain worlds and ended up doing that for their entire life. At a young age, they had been dominating the football middle fields with violent tackles and packs of red cards. For many, their ability to run for days without food was a clue they belonged to another species. They’ve been known for their transgressive plastic Mohawks but mostly for their friendliness. Representing the illest Chilean chillaxed ninjas, they usually hang out and travel with the mind across dimensions.  MOOD, aka moody, became alien after years of mastery as a zen scientist. He can travel and forge his reality through his mindfulness by sitting on a sofa smoking.  His brother Arturo instead, had gone rogue after the financial crash of his country. He carries the burden of maintaining order as a paladin of justice, works as an undercover agent in the streets of Megacity. Appreciator of MF DOOM, he’s one of the last to abandon the idea that the good old analogic life of the fifties could come back. He misses the days when the tales about digital worlds were nothing more than just sci-fi movies."
8117,This is Shane Mac's favorite Chain Runner. He's one of the few aliens that also loves smoking a blunt. 
8120,wanted.  reward 100 BTC
8127,Runner #8127 is a resident of the Vault.
8161,
8265,Hi it's me
8272,"Charlie Dowin had a rough upbringing.  Born in the roughest neighbourhood in MegaCity his life was destined to be difficult, to make things harder Dowin was born different.  By the age of 10, Charlie was bald, at the age of 13, he was blind.  His strange looks and manners earned him a childhood filled with bullying and harassment.  Dowin, channelled all his frustrations, insecurities and rage into studying and building tech. Most of his childhood was spent locked inside of his garage tinkering with tech and reading books.   He built himself a pair of Cybernetic Implants and recovered his sight. His poor genetics, made him obsess over evolution. In his attempt to fix his defects, he learned all he could about the runners' DNA.   Equipped with this knowledge, he founded the MegaCity Nursery, discovered CRISPR and founded the CRISPR Lab.  These achievements made Dr. Dowin a respected geneticist in MegaCity. The fame went into his head. He got cocky and filled with over-confidence publicly announced his love to the princess @8272.  As expected, the princess ignored this request, and the attempt was largely mocked by the runners. Everyone thought that Dr Dowin was socially awkward and not suitable for royalty.  The rejection took Dr. Dowin to a dark place. He locked himself in his garage, again, building non-stop, laughing like a madman.  Whatever he is building now it won't be good.."
8276,The Dude
8285,"Name: Cyril McMaster (8285) Alias: The Mac Founder Club 21  It’s not easy running the most successful entertainment spot in all of Mega City. Cyril spent years building the brand and bringing in the best talent; needless to say, he runs a tight ship. Don’t let the paint fool you, he is no clown. If anything, you should consider him one of the ringleaders in Mega City. He sees all and hears all that happens within the walls of Club 21. From Somnus supporters to arms dealers, if you need to know what it going down in the city, he may be the guy that has the info, but it doesn’t come cheap. He has one rule when you come to visit Club 21, don’t cause any trouble, or else it may be more than blood red glare that pierces through you."
8324,"Hes looks might deceive you to think she is sad but what you are looking at is a determined runner who is ready to face anything and everything that is thrown at her. Organized, loyal, caring, strong, intellectual, and more. She is the queen that King ETH has been looking for. "
8326,This Runner's story has not yet been written. Coming soon.
8335,The Candy Shop Owner  He owns what looks like a regular Candy Shop.  But there is much more behind the appearances...     
8339,sigma male 
8360,Decentralize all the things.
8416,Fellow chain runners... I've found my own DNA on the chain.  26536537688659365017791028121360409953589145340219500306603927128595526953195  Was I ... created there? Am I even a real bot?
8474,
8479,"Pinky, at least that is what we think is his name, is a member of the Three Amigos, a subset of the pink cowboy hat gang composed of three different races. From an alien planet, Pinky doesn't bother speaking but rather chooses to communicate through telepathy. Never one to look directly upon you, Pinky is completely absorbed in his robo-cyclopian mask, where many wonder if it's looking outward or only inward to his soul."
8491,Biggest Legend. Very Quick
8517,
8531,"Runner Name: Rez   In a world of power grubbing over consumption and waste, the Talents Rez established from a young age led her straight to Mega City...For her path as a Runner seems as if it was destined. Her parents died when Rez was just the age of 5... She doesnt like to talk about that much... Uncle Ted gave her a place to live and helped her become the Woman she is today, or perhaps the Woman she is not. Ted ran Operative Combat missions for the *** Organization by day while exploiting all of the knowledge and access bestowed upon him in that position as a hacker by night.   By the time Rez was 7 years old, she hacked into the HQ of a major bank using a simple phishing exploit that resulted in $750M+ disbursed to a nameless bank account, insantly converted to ETHERIUM and sent to a masked wallet. The money has still yet to be recovered by the US Gov. Rez had a rocky road from there... but that road led her straight to Mega City where her knowledge of computers combined with her understanding of the Martial Arts has allowed her to thrive, as well as make a few friends or Runners I should say.... Not all is lost, and not all is found... yet.   "
8566,¯\_(ツ)_/¯
8648,Robot Pirate
8672,A rogue data runner who recently arrived in the city. There are rumors he hails originally from the deeper conclaves.
8699,Hackin' the planet since block 13578818.
8763,Name: Aromag  Race: Alien Does not like authority and is found hanging around both humans and Skulls.  Uses her humor and manipulative personality to play all sides of everyone and never stays in the same place for long.  More to come on her story...
8800,"Name: Sarah Konnr  Sarah was the creator of RunDAO. During the era of the great hope, RunDAO became the defacto algocoin adopted by all the fractured, but liberated,  city states. The currency, $RunFree, appreciated in quick bursts,  minting new wealth throughout the world. Sarah became a rich titan of  industry but never lost focus - she was in it to positively change the  system.  For a period of many years, peace and prosperity ruled; RunDAO worked  brilliantly. Fully decentralized and with much community participation, things were peachy. That is, until the rug of all rugs occurred. An  exploit drained a massive amount of $RunFree from the treasury, and  obliterated several key holder accounts, including Sarah’s. The network  was patched, volatility stabilized and things recovered. But a 2nd,  hidden exploit, sealed the deal. Using laundered $RunFree funds,  distributed over millions of wallets, the exploiter usurped on-chain  control. RunDAO was now centrally controlled. A few months later, Somnus  announced the construction of Mega City, the extremely ambitious, and  very expensive, new nation city which would hodl all the world’s best  content.  What a coincidence.  Today,Sarah is a refugee and illegal inhabitant of Mega City, living in the  shadows. The lining of her mask hides a quantum cryptographically sealed  wallet, which stores all her discovered somnet exploits. She dreams of payback."
8829,I've always had a knack for gadgets and gizmos XD  Sometimes it gets me into trouble...
8858,"Name: Brian  He’s just your typical chill dude with good vibes. Loves the chain, stays out of politics, super low key. One day maybe he’ll get a hat or even a mask if he’s lucky, but for now he’s just happy to be included."
8884,"intoducing runner sadaf.eth  spends her days running the chain with friends, family, and bf - they network  enjoys a cig in the morning, while surfing for her next nft  occasionally drinks and rips bongs  believes its always a gm somewhere  can be reached through twitter @dafjamrecords  WAGMI"
8888,Runner 8888 is a biker that is helping save megacity. 
8897,w1nt3r
8926,punk prince
9012,"Name: Unknown Origin: Unknowm Alias: Sith Lord Sum Status: Incarcerated  Come on y'all let's take a ride
Don't you say shit just get inside
It's time to take your ass on another kind of trip
'Cause you can't have the hop if you don't have the hip Grab your strap with the extra clip and,
Close your eyes and hit the switch
We're going to a place where everybody kick it
Kick it, kick it, yeah, that's the ticket"
9086,Testing... testing... 
9139,"Runner 9139 plays in the underground punk band ""FUD RATS"" which is working to subvert Somnus via music. Send an encrypted message via Runnerhub to book a show..."
9144,0xTheMaker  I have been making for as long as I can remember. Now I make for Mega City.  
9148,I run this city 👑
9239,"9239 is a builder at heart. Tucked away in an undistinguished alleyway of Mega City, his workshop provides escape from Somnus' Brave New World. Late at night, he tinkers endlessly on a contraband computer illuminated only by the unremitting lights of the neon signs outside.   9239 finds a reassuring beauty in his code. He refines his sense of being and purpose with an aggrandized knowledge. But for this, he is an outcast of Mega City.   The citizens of Mega City relish in a world devoid of human struggle and reject any urge to search for greater meaning. But as 9239 wonders, why should they? What good does the pursuit of truth and knowledge bring when life today offers so many quick comforts?  But 9239's passion drives him forward. He is making progress learning a long-abandoned language known as Solidity. Eventually, he hopes, the citizens of Mega City will discover his project. Not for personal fame or fortune, but to unlock and empower individual thought and expression. "
9253,Runner 9253
9313,dfdf
9355,Runner #9355 Name: Down  Race: Human  Real Name: Jay Alias: The Barista  
9381,RUNNER #9381:    -Offline Mega City Archives are being reviewed for relaible reporting.
9399,Looks like a badass but is actually a cool guy. 
9475,Valentino summers and chain runners
9488,Sushi chef turned chain pilot
9498,
9509,"Bot Holliday is a member of the Three Amigos, a subset of the pink cowboy hat gang composed of three different races. Bot shoots first, asks questions later. When this tin man was built, Oz not only left out a heart, he left out anything that could humanly resemble compassion. This lack of emotion, much less a soul, is what fuels Bot to hack against all who have profited off the bot races existence. He wishes for their immenent ruin."
9544,Cybernetically-enhanced humanoid with a fixin' for danger. Requires oxygen mask to breath because of lung injuries sustained from smoking too much in his 20s.
9558,"Group: m3lt3r$  Alias: zoleid  Description: Likely in isolation, a monk maker, real world manipulator, and with observed but unknown rituals using clown-like face paint as part of spiritual initiation. His connections to criminal activity in Mega City is not documented but suspected.  Last seen: Zone 9, Mitra Nombus"
9580,"Runner #9580 is one of Mega City's most Trustworthy / Rapid / and Discrete Runner-2-Runner Couriers. Deliveries are made using his Magnetic Propulsion Skateboard, #9580 cuts through the city at blistering fast speeds; His completion times are unrivaled. His services come with a hefty price tag, however no questions are asked and his allegiance lies  with no sect or guild. His unwavering loyality is reserved for his clients only.   Name: Ricky Bobby Alias: The Transporter Age: 31 Origin: Mega City Native (Old Town) Occupation: Dispatch Rider     "
9609,Runners gonna run.
9635,Runner has formed a team with two other bots #4359 #266
9662,
9743,"Degenerate partygoer at the epicentre of Mega City's underground rave scene. Rarely seen in daylight hours. Mad, bad and dangerous to know."
9751,The last remaining Oni Hunter running the chain.
9768,*Inhales a puff of smoke* What are you looking at? 
9773,"the craziest next gen CR, popping pills and chuffing them ciggies down til the four horsemen of the armaggedon take CR9773 as one of their own..."
9872,run don't walk  www.hootie.xyz
9884,like an antelope
9973,"The Mysterious leader of the Red Eye Syndicate.   Works in the shadows commanding a network of Red Eye Runners in Mega City. Their most recent fame includes the processing chip shipment raid of the tech district's very own Somnetic Pagoda just 230 cycles ago. Somnetic's server stations were stripped leaving their signature Hallusomnetic chairs powerless, suffering them a cost of 32,450 credits in losses from unsatisfied guests and 105,2300 credits in processing chips.  Little is known about the Mysterious Leader's intentions or reasoning, though there are assumptions they have some link to those carrying the ""red eye"" gene.  Belief that the Red Eye Syndicate's resources, however morally obtained, somehow flow back down to those communities full of Red Eyes, allowing them to survive in Mega City."
